0,2.1
0.08,3
0.17,3.5
0.25,4.4
0.33,5.1
0.42,5.7
0.5,6.1
0.58,6.4
0.67,6.7
0.75,7
0.83,7.2
0.92,7.3
1,7.5
1.08,7.7
1.17,7.9
1.25,8
1.33,8.2
1.42,8.4
1.5,8.5
1.58,8.7
1.67,8.9
1.75,9
1.83,9.2
1.92,9.4
2,9.5
2.5,10.1
3,10.9
3.5,11.7
4,12.4
4.5,13.1
5,13.7
5.5,14.4
6,15
6.5,15.6
